YEAR,TIME,VISIBILITY,DISTRICT,INVAGE,DRIVCOND,ACCLASS,INJURY
2006,2220,Rain,Toronto and East York,unknown,None,Fatal,None
2006,2046,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,2046,Clear,Toronto and East York,20 to 24,Normal,Non-Fatal Injury,None
2006,2046,Clear,Toronto and East York,20 to 24,Normal,Non-Fatal Injury,None
2006,2046,Clear,Toronto and East York,unknown,Unknown,Non-Fatal Injury,None
2006,2046,Clear,Toronto and East York,20 to 24,None,Non-Fatal Injury,Major
2006,2301,Clear,North York,20 to 24,None,Non-Fatal Injury,Major
2006,2301,Clear,North York,20 to 24,Unknown,Non-Fatal Injury,Minor
2006,2301,Clear,North York,unknown,None,Non-Fatal Injury,None
2006,2048,Rain,Etobicoke York,20 to 24,Normal,Fatal,None
2006,2048,Rain,Etobicoke York,15 to 19,None,Fatal,Fatal
2006,2130,Rain,Toronto and East York,40 to 44,Normal,Non-Fatal Injury,None
2006,2130,Rain,Toronto and East York,65 to 69,None,Non-Fatal Injury,Major
2006,1421,Clear,Toronto and East York,50 to 54,None,Non-Fatal Injury,Major
2006,1421,Clear,Toronto and East York,50 to 54,Normal,Non-Fatal Injury,Major
2006,1421,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,1421,Clear,Toronto and East York,40 to 44,Normal,Non-Fatal Injury,None
2006,758,Rain,Scarborough,70 to 74,Normal,Non-Fatal Injury,None
2006,758,Rain,Scarborough,15 to 19,None,Non-Fatal Injury,Major
2006,957,Rain,Scarborough,50 to 54,Normal,Non-Fatal Injury,None
2006,957,Rain,Scarborough,65 to 69,None,Non-Fatal Injury,Major
2006,1330,Clear,Toronto and East York,50 to 54,Inattentive,Non-Fatal Injury,None
2006,1330,Clear,Toronto and East York,80 to 84,None,Non-Fatal Injury,Major
2006,745,Clear,Toronto and East York,30 to 34,Normal,Non-Fatal Injury,None
2006,745,Clear,Toronto and East York,50 to 54,None,Non-Fatal Injury,Major
2006,1500,Clear,Etobicoke York,50 to 54,Normal,Non-Fatal Injury,None
2006,1500,Clear,Etobicoke York,80 to 84,None,Non-Fatal Injury,Major
2006,1804,Clear,North York,65 to 69,Inattentive,Non-Fatal Injury,None
2006,1804,Clear,North York,20 to 24,None,Non-Fatal Injury,Major
2006,845,Clear,Scarborough,40 to 44,Normal,Non-Fatal Injury,None
2006,845,Clear,Scarborough,5 to 9,None,Non-Fatal Injury,None
2006,845,Clear,Scarborough,25 to 29,Normal,Non-Fatal Injury,None
2006,845,Clear,Scarborough,0 to 4,None,Non-Fatal Injury,Minor
2006,845,Clear,Scarborough,25 to 29,Normal,Non-Fatal Injury,Major
2006,845,Clear,Scarborough,30 to 34,Normal,Non-Fatal Injury,None
2006,856,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,856,Clear,Toronto and East York,50 to 54,Fatigue,Non-Fatal Injury,Major
2006,856,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,856,Clear,Toronto and East York,45 to 49,Normal,Non-Fatal Injury,Minimal
2006,856,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,856,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,925,Clear,Toronto and East York,55 to 59,None,Non-Fatal Injury,Major
2006,925,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,925,Clear,Toronto and East York,70 to 74,Inattentive,Non-Fatal Injury,None
2006,520,Clear,Etobicoke York,unknown,None,Non-Fatal Injury,None
2006,520,Clear,Etobicoke York,40 to 44,Normal,Non-Fatal Injury,None
2006,520,Clear,Etobicoke York,40 to 44,Normal,Non-Fatal Injury,Minor
2006,520,Clear,Etobicoke York,55 to 59,Normal,Non-Fatal Injury,Major
2006,520,Clear,Etobicoke York,35 to 39,Normal,Non-Fatal Injury,Minor
2006,520,Clear,Etobicoke York,25 to 29,Unknown,Non-Fatal Injury,Major
2006,935,Clear,Toronto and East York,70 to 74,None,Fatal,Fatal
2006,935,Clear,Toronto and East York,unknown,None,Fatal,None
2006,935,Clear,Toronto and East York,50 to 54,Inattentive,Fatal,None
2006,620,Snow,Etobicoke York,40 to 44,Unknown,Non-Fatal Injury,Major
2006,620,Snow,Etobicoke York,unknown,None,Non-Fatal Injury,None
2006,2159,Rain,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,2159,Rain,Toronto and East York,50 to 54,Had Been Drinking,Non-Fatal Injury,None
2006,2159,Rain,Toronto and East York,40 to 44,None,Non-Fatal Injury,Major
2006,1508,Clear,North York,45 to 49,Normal,Non-Fatal Injury,None
2006,1508,Clear,North York,20 to 24,None,Non-Fatal Injury,Major
2006,607,Clear,Toronto and East York,40 to 44,None,Non-Fatal Injury,Major
2006,607,Clear,Toronto and East York,35 to 39,Other,Non-Fatal Injury,None
2006,1840,Clear,Scarborough,unknown,None,Fatal,None
2006,1840,Clear,Scarborough,40 to 44,Inattentive,Fatal,None
2006,1840,Clear,Scarborough,80 to 84,None,Fatal,Fatal
2006,1846,Clear,North York,55 to 59,Normal,Non-Fatal Injury,None
2006,1846,Clear,North York,75 to 79,None,Non-Fatal Injury,Major
2006,700,Clear,Etobicoke York,unknown,None,Non-Fatal Injury,None
2006,700,Clear,Etobicoke York,20 to 24,Normal,Non-Fatal Injury,None
2006,700,Clear,Etobicoke York,25 to 29,Inattentive,Non-Fatal Injury,Major
2006,1350,Clear,Toronto and East York,75 to 79,None,Non-Fatal Injury,Major
2006,1350,Clear,Toronto and East York,40 to 44,Inattentive,Non-Fatal Injury,None
2006,837,Clear,Etobicoke York,unknown,None,Non-Fatal Injury,None
2006,837,Clear,Etobicoke York,35 to 39,Normal,Non-Fatal Injury,None
2006,837,Clear,Etobicoke York,40 to 44,None,Non-Fatal Injury,Major
2006,1529,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,1529,Clear,Toronto and East York,50 to 54,Normal,Non-Fatal Injury,None
2006,1529,Clear,Toronto and East York,55 to 59,None,Non-Fatal Injury,Major
2006,117,Snow,Toronto and East York,15 to 19,None,Non-Fatal Injury,Major
2006,117,Snow,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,117,Snow,Toronto and East York,20 to 24,Unknown,Non-Fatal Injury,Minimal
2006,117,Snow,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,117,Snow,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,430,Clear,Toronto and East York,15 to 19,None,Non-Fatal Injury,Major
2006,430,Clear,Toronto and East York,15 to 19,None,Non-Fatal Injury,Major
2006,430,Clear,Toronto and East York,15 to 19,None,Non-Fatal Injury,Major
2006,430,Clear,Toronto and East York,15 to 19,None,Non-Fatal Injury,Major
2006,430,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,430,Clear,Toronto and East York,15 to 19,Normal,Non-Fatal Injury,Major
2006,501,Clear,Etobicoke York,unknown,None,Fatal,None
2006,501,Clear,Etobicoke York,25 to 29,Inattentive,Fatal,None
2006,501,Clear,Etobicoke York,30 to 34,None,Fatal,Fatal
2006,1723,Clear,Toronto and East York,30 to 34,Inattentive,Non-Fatal Injury,None
2006,1723,Clear,Toronto and East York,60 to 64,None,Non-Fatal Injury,Major
2006,1955,Clear,Scarborough,unknown,None,Non-Fatal Injury,None
2006,1955,Clear,Scarborough,35 to 39,Inattentive,Non-Fatal Injury,None
2006,1955,Clear,Scarborough,25 to 29,None,Non-Fatal Injury,Major
2006,1754,Clear,Etobicoke York,55 to 59,Unknown,Non-Fatal Injury,Major
2006,2334,Clear,Scarborough,unknown,None,Non-Fatal Injury,None
2006,2334,Clear,Scarborough,unknown,None,Non-Fatal Injury,None
2006,2334,Clear,Scarborough,unknown,None,Non-Fatal Injury,Minor
2006,2334,Clear,Scarborough,unknown,None,Non-Fatal Injury,Major
2006,1110,Clear,Toronto and East York,35 to 39,Inattentive,Non-Fatal Injury,None
2006,1110,Clear,Toronto and East York,80 to 84,None,Non-Fatal Injury,Major
2006,1828,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,1828,Clear,Toronto and East York,30 to 34,Normal,Non-Fatal Injury,None
2006,1828,Clear,Toronto and East York,45 to 49,None,Non-Fatal Injury,Major
2006,2222,Clear,Etobicoke York,15 to 19,None,Fatal,Fatal
2006,2222,Clear,Etobicoke York,20 to 24,None,Fatal,Minor
2006,2222,Clear,Etobicoke York,35 to 39,"Ability Impaired, Alcohol Over .08",Fatal,Minor
2006,2222,Clear,Etobicoke York,unknown,None,Fatal,None
2006,2222,Clear,Etobicoke York,25 to 29,Normal,Fatal,Minor
2006,2222,Clear,Etobicoke York,40 to 44,Normal,Fatal,None
2006,2222,Clear,Etobicoke York,unknown,None,Fatal,None
2006,2018,Clear,Etobicoke York,5 to 9,None,Fatal,Fatal
2006,2018,Clear,Etobicoke York,5 to 9,None,Fatal,Major
2006,2018,Clear,Etobicoke York,40 to 44,None,Fatal,Minor
2006,2018,Clear,Etobicoke York,unknown,None,Fatal,None
2006,2018,Clear,Etobicoke York,30 to 34,Inattentive,Fatal,Minor
2006,852,Clear,Toronto and East York,unknown,Unknown,Fatal,None
2006,852,Clear,Toronto and East York,65 to 69,None,Fatal,Fatal
2006,915,Clear,Scarborough,45 to 49,Unknown,Fatal,Fatal
2006,915,Clear,Scarborough,unknown,Unknown,Fatal,None
2006,240,Clear,Scarborough,25 to 29,"Ability Impaired, Alcohol",Fatal,None
2006,240,Clear,Scarborough,30 to 34,None,Fatal,Minor
2006,240,Clear,Scarborough,40 to 44,None,Fatal,Fatal
2006,1903,Clear,Toronto and East York,30 to 34,"Ability Impaired, Alcohol Over .08",Non-Fatal Injury,None
2006,1903,Clear,Toronto and East York,25 to 29,None,Non-Fatal Injury,Major
2006,1535,Clear,Etobicoke York,40 to 44,Normal,Fatal,None
2006,1535,Clear,Etobicoke York,20 to 24,None,Fatal,Fatal
2006,925,Clear,Scarborough,55 to 59,None,Non-Fatal Injury,Major
2006,925,Clear,Scarborough,unknown,None,Non-Fatal Injury,None
2006,925,Clear,Scarborough,0 to 4,None,Non-Fatal Injury,Minor
2006,925,Clear,Scarborough,25 to 29,Normal,Non-Fatal Injury,Minor
2006,925,Clear,Scarborough,65 to 69,Normal,Non-Fatal Injury,Major
2006,925,Clear,Scarborough,unknown,None,Non-Fatal Injury,None
2006,925,Clear,Scarborough,35 to 39,Normal,Non-Fatal Injury,None
2006,925,Clear,Scarborough,unknown,None,Non-Fatal Injury,None
2006,925,Clear,Scarborough,25 to 29,Normal,Non-Fatal Injury,Major
2006,1710,Clear,Toronto and East York,25 to 29,Normal,Non-Fatal Injury,None
2006,1710,Clear,Toronto and East York,60 to 64,None,Non-Fatal Injury,Major
2006,642,Clear,Toronto and East York,40 to 44,Normal,Non-Fatal Injury,None
2006,642,Clear,Toronto and East York,50 to 54,None,Non-Fatal Injury,Major
2006,1554,Clear,Toronto and East York,40 to 44,Normal,Non-Fatal Injury,None
2006,1554,Clear,Toronto and East York,20 to 24,None,Non-Fatal Injury,Major
2006,343,Clear,North York,25 to 29,Had Been Drinking,Non-Fatal Injury,None
2006,343,Clear,North York,15 to 19,None,Non-Fatal Injury,Minimal
2006,343,Clear,North York,20 to 24,None,Non-Fatal Injury,Major
2006,343,Clear,North York,15 to 19,None,Non-Fatal Injury,Major
2006,343,Clear,North York,unknown,None,Non-Fatal Injury,None
2006,343,Clear,North York,15 to 19,Normal,Non-Fatal Injury,Minimal
2006,2120,Clear,North York,25 to 29,Normal,Non-Fatal Injury,None
2006,2120,Clear,North York,20 to 24,"Ability Impaired, Alcohol",Non-Fatal Injury,Major
2006,207,Clear,Toronto and East York,25 to 29,None,Non-Fatal Injury,Major
2006,207,Clear,Toronto and East York,25 to 29,Other,Non-Fatal Injury,Minor
2006,207,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,1743,Clear,Scarborough,25 to 29,Normal,Non-Fatal Injury,Major
2006,1743,Clear,Scarborough,40 to 44,Inattentive,Non-Fatal Injury,Minor
2006,1743,Clear,Scarborough,80 to 84,None,Non-Fatal Injury,Major
2006,1743,Clear,Scarborough,50 to 54,None,Non-Fatal Injury,Minor
2006,1743,Clear,Scarborough,50 to 54,Normal,Non-Fatal Injury,Major
2006,1743,Clear,Scarborough,20 to 24,Normal,Non-Fatal Injury,None
2006,755,Clear,Scarborough,20 to 24,Normal,Non-Fatal Injury,None
2006,755,Clear,Scarborough,60 to 64,None,Non-Fatal Injury,Major
2006,2100,Clear,Etobicoke York,20 to 24,None,Non-Fatal Injury,Minimal
2006,2100,Clear,Etobicoke York,25 to 29,Normal,Non-Fatal Injury,Major
2006,2100,Clear,Etobicoke York,30 to 34,Inattentive,Non-Fatal Injury,None
2006,1435,Clear,Etobicoke York,50 to 54,Normal,Non-Fatal Injury,None
2006,1435,Clear,Etobicoke York,70 to 74,Medical or Physical Disability,Non-Fatal Injury,Major
2006,1435,Clear,Etobicoke York,unknown,None,Non-Fatal Injury,None
2006,1139,Rain,Etobicoke York,unknown,None,Non-Fatal Injury,None
2006,1139,Rain,Etobicoke York,40 to 44,None,Non-Fatal Injury,Minor
2006,1139,Rain,Etobicoke York,45 to 49,Normal,Non-Fatal Injury,None
2006,1139,Rain,Etobicoke York,unknown,None,Non-Fatal Injury,None
2006,1139,Rain,Etobicoke York,15 to 19,Inattentive,Non-Fatal Injury,Major
2006,1850,Rain,Toronto and East York,unknown,Unknown,Non-Fatal Injury,None
2006,1850,Rain,Toronto and East York,25 to 29,None,Non-Fatal Injury,Major
2006,1614,Clear,Toronto and East York,35 to 39,Had Been Drinking,Non-Fatal Injury,Major
2006,1614,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,1614,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,1640,Clear,Toronto and East York,45 to 49,Normal,Non-Fatal Injury,None
2006,1640,Clear,Toronto and East York,70 to 74,None,Non-Fatal Injury,Major
2006,2205,Clear,Etobicoke York,unknown,None,Non-Fatal Injury,None
2006,2205,Clear,Etobicoke York,30 to 34,None,Non-Fatal Injury,Major
2006,2205,Clear,Etobicoke York,30 to 34,Normal,Non-Fatal Injury,None
2006,2205,Clear,Etobicoke York,unknown,None,Non-Fatal Injury,None
2006,2205,Clear,Etobicoke York,30 to 34,Normal,Non-Fatal Injury,None
2006,2344,Clear,Toronto and East York,50 to 54,Unknown,Non-Fatal Injury,Minimal
2006,2344,Clear,Toronto and East York,25 to 29,None,Non-Fatal Injury,Minimal
2006,2344,Clear,Toronto and East York,25 to 29,None,Non-Fatal Injury,Minimal
2006,2344,Clear,Toronto and East York,20 to 24,Normal,Non-Fatal Injury,Major
2006,2344,Clear,Toronto and East York,25 to 29,Inattentive,Non-Fatal Injury,Minimal
2006,2344,Clear,Toronto and East York,30 to 34,Normal,Non-Fatal Injury,None
2006,1717,Clear,North York,55 to 59,Medical or Physical Disability,Non-Fatal Injury,Major
2006,1717,Clear,North York,unknown,None,Non-Fatal Injury,None
2006,1615,Rain,Toronto and East York,50 to 54,Normal,Non-Fatal Injury,None
2006,1615,Rain,Toronto and East York,75 to 79,None,Non-Fatal Injury,Major
2006,230,Clear,North York,unknown,None,Non-Fatal Injury,None
2006,230,Clear,North York,40 to 44,"Ability Impaired, Alcohol Over .08",Non-Fatal Injury,Major
2006,1325,Clear,Toronto and East York,60 to 64,Normal,Non-Fatal Injury,None
2006,1325,Clear,Toronto and East York,15 to 19,None,Non-Fatal Injury,Major
2006,1540,Clear,Toronto and East York,45 to 49,Normal,Non-Fatal Injury,None
2006,1540,Clear,Toronto and East York,25 to 29,None,Non-Fatal Injury,Major
2006,1825,Clear,North York,15 to 19,Normal,Non-Fatal Injury,None
2006,1825,Clear,North York,60 to 64,None,Non-Fatal Injury,Major
2006,1555,Rain,Scarborough,unknown,None,Non-Fatal Injury,None
2006,1555,Rain,Scarborough,40 to 44,Normal,Non-Fatal Injury,None
2006,1555,Rain,Scarborough,unknown,None,Non-Fatal Injury,None
2006,1555,Rain,Scarborough,55 to 59,Normal,Non-Fatal Injury,Major
2006,1150,Clear,Scarborough,unknown,None,Non-Fatal Injury,None
2006,1150,Clear,Scarborough,30 to 34,Normal,Non-Fatal Injury,Major
2006,1744,Clear,Toronto and East York,55 to 59,Normal,Non-Fatal Injury,None
2006,1744,Clear,Toronto and East York,40 to 44,Inattentive,Non-Fatal Injury,Major
2006,1530,Clear,Etobicoke York,45 to 49,Normal,Non-Fatal Injury,None
2006,1530,Clear,Etobicoke York,60 to 64,Normal,Non-Fatal Injury,Major
2006,1620,Clear,Scarborough,40 to 44,Normal,Non-Fatal Injury,Major
2006,1620,Clear,Scarborough,40 to 44,Normal,Non-Fatal Injury,None
2006,1853,Clear,Toronto and East York,55 to 59,Normal,Non-Fatal Injury,Minor
2006,1853,Clear,Toronto and East York,25 to 29,Normal,Non-Fatal Injury,Major
2006,1813,Rain,Etobicoke York,unknown,None,Non-Fatal Injury,None
2006,1813,Rain,Etobicoke York,25 to 29,Unknown,Non-Fatal Injury,None
2006,1813,Rain,Etobicoke York,40 to 44,None,Non-Fatal Injury,Major
2006,2000,Clear,Toronto and East York,unknown,None,Fatal,None
2006,2000,Clear,Toronto and East York,55 to 59,Normal,Fatal,None
2006,2000,Clear,Toronto and East York,40 to 44,None,Fatal,Fatal
2006,10,Clear,Etobicoke York,45 to 49,Normal,Non-Fatal Injury,Major
2006,10,Clear,Etobicoke York,15 to 19,None,Non-Fatal Injury,Minor
2006,10,Clear,Etobicoke York,20 to 24,Normal,Non-Fatal Injury,Minimal
2006,1930,Clear,Scarborough,5 to 9,None,Fatal,Minor
2006,1930,Clear,Scarborough,30 to 34,None,Fatal,Fatal
2006,1930,Clear,Scarborough,35 to 39,Unknown,Fatal,Major
2006,1930,Clear,Scarborough,50 to 54,Normal,Fatal,None
2006,1930,Clear,Scarborough,unknown,None,Fatal,None
2006,1930,Clear,Scarborough,50 to 54,Normal,Fatal,None
2006,1900,Clear,Etobicoke York,30 to 34,Normal,Non-Fatal Injury,None
2006,1900,Clear,Etobicoke York,70 to 74,None,Non-Fatal Injury,Major
2006,843,Clear,North York,unknown,None,Fatal,None
2006,843,Clear,North York,50 to 54,Normal,Fatal,None
2006,843,Clear,North York,45 to 49,None,Fatal,Fatal
2006,2053,Clear,Etobicoke York,unknown,None,Fatal,None
2006,2053,Clear,Etobicoke York,15 to 19,None,Fatal,Fatal
2006,2053,Clear,Etobicoke York,unknown,None,Fatal,None
2006,2053,Clear,Etobicoke York,45 to 49,Normal,Fatal,None
2006,950,Rain,Scarborough,75 to 79,None,Non-Fatal Injury,Major
2006,950,Rain,Scarborough,80 to 84,Normal,Non-Fatal Injury,Minor
2006,950,Rain,Scarborough,35 to 39,Normal,Non-Fatal Injury,Minimal
2006,119,Clear,Scarborough,20 to 24,None,Non-Fatal Injury,Minimal
2006,119,Clear,Scarborough,25 to 29,None,Non-Fatal Injury,Major
2006,119,Clear,Scarborough,unknown,None,Non-Fatal Injury,None
2006,119,Clear,Scarborough,25 to 29,None,Non-Fatal Injury,Minimal
2006,119,Clear,Scarborough,25 to 29,None,Non-Fatal Injury,Major
2006,119,Clear,Scarborough,20 to 24,None,Non-Fatal Injury,Minor
2006,119,Clear,Scarborough,unknown,None,Non-Fatal Injury,None
2006,119,Clear,Scarborough,25 to 29,"Ability Impaired, Alcohol",Non-Fatal Injury,Minor
2006,800,Rain,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,800,Rain,Toronto and East York,25 to 29,Normal,Non-Fatal Injury,None
2006,800,Rain,Toronto and East York,45 to 49,None,Non-Fatal Injury,Major
2006,1630,Clear,North York,unknown,None,Non-Fatal Injury,None
2006,1630,Clear,North York,5 to 9,None,Non-Fatal Injury,Major
2006,1630,Clear,North York,10 to 14,None,Non-Fatal Injury,None
2006,1630,Clear,North York,0 to 4,None,Non-Fatal Injury,None
2006,1630,Clear,North York,10 to 14,None,Non-Fatal Injury,None
2006,1630,Clear,North York,30 to 34,Fatigue,Non-Fatal Injury,None
2006,1630,Clear,North York,unknown,None,Non-Fatal Injury,None
2006,920,Clear,Scarborough,75 to 79,Inattentive,Non-Fatal Injury,None
2006,920,Clear,Scarborough,20 to 24,None,Non-Fatal Injury,Minor
2006,920,Clear,Scarborough,20 to 24,None,Non-Fatal Injury,Major
2006,2044,Clear,Etobicoke York,15 to 19,None,Non-Fatal Injury,Major
2006,2044,Clear,Etobicoke York,unknown,None,Non-Fatal Injury,None
2006,2044,Clear,Etobicoke York,15 to 19,Normal,Non-Fatal Injury,None
2006,2044,Clear,Etobicoke York,25 to 29,Normal,Non-Fatal Injury,None
2006,1310,Clear,North York,70 to 74,Normal,Non-Fatal Injury,None
2006,1310,Clear,North York,35 to 39,Normal,Non-Fatal Injury,Major
2006,2349,Clear,Toronto and East York,25 to 29,Normal,Non-Fatal Injury,None
2006,2349,Clear,Toronto and East York,50 to 54,None,Non-Fatal Injury,Minimal
2006,2349,Clear,Toronto and East York,50 to 54,Normal,Non-Fatal Injury,None
2006,2349,Clear,Toronto and East York,unknown,Normal,Non-Fatal Injury,None
2006,2349,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,2349,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,2349,Clear,Toronto and East York,35 to 39,Normal,Non-Fatal Injury,Minor
2006,2349,Clear,Toronto and East York,40 to 44,Normal,Non-Fatal Injury,None
2006,2349,Clear,Toronto and East York,25 to 29,None,Non-Fatal Injury,Major
2006,2349,Clear,Toronto and East York,unknown,None,Non-Fatal Injury,None
2006,1521,Clear,Etobicoke York,20 to 24,Normal,Non-Fatal Injury,Major
2006,2136,Clear,Etobicoke York,40 to 44,Had Been Drinking,Fatal,Minimal
